year,month,decade,avg_temperature
2020,9,3,13.06875
2020,10,1,12.66
2020,10,2,8.0625
2020,10,3,7.029545454545455
2020,11,1,5.9350000000000005
2020,11,2,-0.1025
2020,11,3,0.8775000000000001
2020,12,1,-5.86875
2020,12,2,-3.78625
2020,12,3,-3.5
2021,1,1,-2.83125
2021,1,2,-13.57875
2021,1,3,-1.3602272727272728
2021,2,1,-9.97
2021,2,2,-14.07375
2021,2,3,-6.65625
2021,3,1,-4.41625
2021,3,2,-2.38875
2021,3,3,2.452272727272727
2021,4,1,4.54
2021,4,2,11.776250000000001
2021,4,3,6.15
2021,5,1,9.53
2021,5,2,18.30125
2021,5,3,15.081818181818182
2021,6,1,16.195
2021,6,2,20.31125
2021,6,3,25.021250000000002
2021,7,1,22.21125
2021,7,2,24.87875
2021,7,3,19.7625
2021,8,1,20.6325
2021,8,2,20.884999999999998
2021,8,3,17.311363636363637
2021,9,1,11.6325
2021,9,2,10.335443037974683
2021,9,3,7.85
2021,10,1,6.01375
2021,10,2,6.47375
2021,10,3,6.584090909090909
2021,11,1,5.07125
2021,11,2,0.9375
2021,11,3,0.9450000000000001
2021,12,1,-4.745
2021,12,2,-4.14375
2021,12,3,-11.784090909090908
2022,1,1,-4.89875
2022,1,2,-5.9799999999999995
2022,1,3,-5.236363636363636
2022,2,1,-3.13875
2022,2,2,0.45625
2022,2,3,0.265625
2022,3,1,-3.09
2022,3,2,-0.9724999999999999
2022,3,3,1.725
2022,4,1,3.21
2022,4,2,5.567088607594937
2022,4,3,8.5725
2022,5,1,9.776250000000001
2022,5,2,11.38625
2022,5,3,10.835227272727273
2022,6,1,17.782278481012657
2022,6,2,18.05125
2022,6,3,20.73125
2022,7,1,21.59493670886076
2022,7,2,19.294999999999998
2022,7,3,21.121176470588235
2022,8,1,21.357499999999998
2022,8,2,21.723750000000003
2022,8,3,22.510227272727274
2022,9,1,9.254999999999999
2022,9,2,11.43
2022,9,3,9.473749999999999
2022,10,1,10.98125
2022,10,2,6.516249999999999
2022,10,3,4.513636363636364
2022,11,1,2.21625
2022,11,2,0.42874999999999996
2022,11,3,-4.58375
2022,12,1,-7.953749999999999
2022,12,2,-3.2287500000000002
2022,12,3,-1.3556818181818182
2023,1,1,-9.58625
2023,1,2,-2.7024999999999997
2023,1,3,-1.9568181818181818
2023,2,1,-2.0075
2023,2,2,-4.255
2023,2,3,-6.415625
2023,3,1,-2.63125
2023,3,2,0.5900000000000001
2023,3,3,5.552272727272728
